Lista	Articolo
0	0
1	1
1	2
1	3
2	4
3	5
4	6
5	7
5	8
6	9
6	10
6	11
6	12
6	13
6	14
6	15
6	16
7	17
7	18
8	19
8	20
8	21
8	10
8	22
8	23
8	24
8	25
8	16
8	26
8	3
9	27
10	28
10	29
11	30
11	31
12	30
13	32
14	33
15	27
16	34
16	35
16	36
16	37
16	38
16	39
16	40
16	17
16	13
16	41
16	42
16	43
17	40
17	11
17	26
18	34
18	44
18	21
18	10
18	45
18	29
18	46
18	47
18	26
19	39
20	21
20	10
20	11
20	14
20	48
20	47
20	49
20	50
20	51
20	16
20	52
20	26
20	53
21	34
21	38
21	17
21	13
22	39
22	11
22	54
22	29
22	42
22	16
22	55
22	26
23	56
23	44
24	57
24	45
24	29
24	26
25	44
25	35
25	58
25	57
25	38
25	39
25	40
25	10
25	13
25	45
25	29
25	59
26	45
26	29
26	60
27	61
27	38
27	21
27	14
27	62
27	63
27	27
27	16
28	20
29	64
29	37
29	21
29	11
29	17
29	13
29	41
29	14
29	65
29	47
29	16
29	52
29	66
30	56
30	44
30	58
30	67
30	29
30	68
30	24
31	38
31	39
31	11
31	69
31	17
31	13
31	41
31	47
31	16
31	43
32	39
32	45
32	29
32	68
32	70
33	71
33	13
34	72
34	34
34	37
34	73
34	74
34	75
34	39
34	76
34	10
34	11
34	77
34	14
34	47
34	78
34	79
34	16
34	80
35	37
35	38
35	81
35	49
36	37
36	82
36	10
36	49
36	16
37	10
37	83
37	84
38	77
39	85
39	86
39	87
39	88
39	89
40	49
41	6
41	35
41	57
41	90
41	38
41	21
41	11
41	29
41	47
42	44
42	35
42	10
42	41
42	91
42	27
42	92
42	43
42	93
42	94
43	35
43	10
43	27
43	92
43	16
43	43
44	8
44	34
44	95
44	35
44	10
44	47
44	27
44	92
44	93
45	96
45	49
45	92
45	97
46	98
46	92
46	16
47	95
47	21
47	99
48	95
48	16
48	100
49	99
49	16
50	101
50	10
50	102
51	13
51	41
51	16
51	53
52	61
52	56
52	95
52	36
52	103
52	38
52	104
52	105
52	99
52	13
52	51
52	106
53	20
53	107
53	24
54	20
54	107
55	38
55	13
55	24
56	108
57	108
58	97
59	57
59	13
59	97
60	17
60	13
60	109
61	40
61	13
62	56
62	34
62	57
62	17
62	41
63	107
63	83
63	47
63	27
63	25
64	8
64	35
64	10
64	41
64	47
64	27
64	92
64	16
65	104
65	27
66	110
66	84
67	8
67	111
67	44
67	35
67	57
67	11
67	17
67	13
67	41
67	49
67	110
67	43
68	34
68	95
68	111
68	35
68	37
68	75
68	39
68	40
68	13
68	27
69	56
69	8
69	57
69	37
69	38
69	40
69	22
69	17
69	13
69	41
69	107
69	83
69	112
69	42
69	25
69	16
69	94
69	113
70	20
70	38
70	17
70	13
70	41
70	43
71	58
71	14
71	114
72	14
73	61
73	56
73	8
73	115
73	35
73	36
73	58
73	57
73	116
73	90
73	40
73	21
73	10
73	11
73	105
73	117
73	22
73	17
73	13
73	41
73	83
73	118
73	112
73	42
73	25
73	119
73	98
73	16
73	120
74	13
74	41
75	13
75	83
75	121
76	122
76	40
76	17
76	13
77	17
77	13
77	42
77	27
77	25
78	14
78	47
79	38
79	16
80	114
81	123
81	115
81	37
81	75
81	13
81	16
82	8
82	36
82	116
82	38
82	39
82	22
82	83
82	16
82	94
83	35
83	57
83	38
83	40
83	17
83	13
83	41
83	42
83	25
83	119
83	16
84	35
84	36
84	116
84	124
84	40
84	104
84	22
84	17
84	13
84	41
84	16
84	94
85	6
85	20
85	35
85	116
85	90
85	38
85	22
85	41
85	42
85	125
85	16
86	17
86	13
86	41
86	119
86	49
86	16
86	120
87	57
87	17
87	13
87	42
87	25
87	16
88	126
88	127
88	56
88	8
88	128
88	129
88	35
88	40
88	13
88	27
88	43
88	93
88	130
89	108
89	121
90	56
90	20
90	44
90	11
90	17
90	13
90	47
90	27
90	102
90	93
90	94
91	38
92	37
92	38
92	13
92	131
92	109
93	8
93	1
93	49
94	57
94	17
94	13
94	41
94	42
94	25
94	16
94	120
94	94
94	132
95	47
96	115
96	129
96	111
96	35
96	96
96	37
96	10
96	105
96	133
96	16
96	94
97	47
98	38
98	107
99	108
99	99
100	38
100	23
100	13
101	99
101	110
101	84
102	8
102	134
102	135
103	10
103	16
104	13
105	10
105	105
105	99
105	133
105	92
105	110
106	110
106	136
106	84
107	8
107	44
107	38
107	137
107	98
107	92
107	16
107	138
108	8
108	10
108	99
108	139
108	49
108	98
108	92
108	97
109	8
109	10
109	99
109	83
109	47
109	49
109	98
109	92
109	16
110	8
110	99
110	49
111	124
111	99
111	83
111	49
111	92
111	16
112	10
112	60
112	49
112	110
112	16
113	1
113	139
113	83
113	49
113	110
113	16
114	10
114	99
114	60
114	139
114	47
114	49
114	16
115	103
115	10
115	99
115	83
115	47
115	140
115	49
115	92
115	110
116	8
116	34
116	35
116	37
116	82
116	10
116	117
116	141
116	23
116	17
116	13
116	41
116	83
116	51
116	98
116	110
116	16
116	43
116	120
117	72
117	129
117	35
117	90
117	13
117	41
117	27
117	98
117	93
117	142
118	139
118	110
118	136
118	84
119	10
119	11
119	99
119	92
119	110
120	97
121	25
121	16
121	143
122	126
122	8
122	144
122	34
122	145
122	45
122	29
122	62
122	47
122	146
122	143
123	34
123	64
123	147
123	90
123	82
123	148
123	45
123	29
123	149
123	150
124	151
124	152
124	1
124	144
124	153
124	103
124	154
124	148
124	45
124	29
124	68
124	155
124	156
124	14
124	62
124	47
124	157
124	16
124	158
124	149
124	150
124	159
124	113
125	13
125	45
125	29
126	154
126	21
126	11
126	14
126	78
126	49
126	149
126	160
126	161
127	75
127	40
127	17
127	13
127	25
127	120
128	95
128	35
128	36
128	37
128	38
128	40
128	104
128	13
128	41
128	29
128	68
128	83
128	112
128	42
128	25
128	49
128	16
128	120
128	159
128	94
128	143
128	132
128	33
129	104
129	17
129	13
129	41
129	42
129	16
130	20
130	44
130	35
130	37
130	38
130	40
130	17
130	13
130	41
130	112
130	42
130	25
130	119
130	16
130	120
131	126
131	20
131	44
131	57
131	37
131	38
131	40
131	104
131	22
131	17
131	13
131	41
131	83
131	42
131	25
131	119
131	49
131	16
131	120
131	159
131	94
131	53
132	111
132	37
132	38
132	73
132	104
132	13
132	41
132	42
132	25
132	49
132	16
132	162
133	57
134	163
135	44
135	38
135	68
135	42
136	8
136	95
136	164
136	67
136	21
136	11
136	77
136	29
136	48
136	42
136	110
136	143
136	53
137	165
137	79
138	23
138	45
138	29
138	24
138	166
138	100
139	36
139	90
139	38
139	21
139	17
139	13
139	41
139	14
139	47
139	42
139	50
139	143
139	53
140	167
140	21
140	10
140	11
140	77
140	168
140	169
140	16
141	7
142	61
142	57
142	38
142	10
142	11
142	45
142	29
142	46
142	83
142	47
142	49
142	16
142	170
143	8
143	34
143	35
143	36
143	67
143	40
143	10
143	11
143	45
143	29
143	14
143	114
143	47
143	42
143	92
143	16
144	8
144	84
144	93
145	171
145	172
145	86
145	173
145	13
145	131
145	109
146	8
146	34
146	95
146	57
146	67
146	38
146	40
146	10
146	11
146	45
146	29
146	46
146	14
146	83
146	47
146	174
146	52
146	43
146	149
146	143
147	38
147	39
147	21
147	11
147	47
147	175
147	176
148	74
148	21
148	13
148	41
148	42
148	49
148	93
148	53
149	177
149	178
150	8
150	1
150	67
150	37
150	10
150	11
150	49
150	92
150	59
150	16
150	52
150	159
151	8
151	136
151	16
152	67
153	38
154	30
154	31
155	30
156	31
157	31
157	143
158	159
158	26
158	31
159	159
159	26
160	159
160	26
161	159
162	57
163	90
163	13
163	41
164	41
164	45
164	29
165	37
165	73
165	74
165	75
165	71
165	17
165	13
165	41
166	179
167	23
167	180
167	94
168	173
168	23
168	17
168	13
168	41
168	47
169	35
169	181
170	34
170	16
170	159
171	39
171	23
171	13
171	182
171	60
171	139
171	125
171	0
171	25
172	8
172	1
172	10
172	99
172	83
172	135
172	78
172	49
172	183
172	16
172	149
172	161
173	8
173	57
173	12
173	16
174	8
174	83
174	47
174	78
174	149
175	8
175	184
175	12
175	47
175	78
175	185
175	170
175	149
176	186
177	151
177	61
177	187
177	20
177	36
177	57
177	116
177	188
177	90
177	37
177	40
177	189
177	17
177	13
177	41
177	83
177	42
177	146
177	190
177	16
177	43
177	191
177	94
177	143
177	192
178	193
179	17
179	13
180	13
180	41
180	194
181	13
182	173
182	17
182	13
182	41
183	153
184	13
185	195
185	2
185	23
185	17
185	13
185	41
185	159
186	34
186	29
186	46
186	131
186	109
187	2
187	34
187	95
187	35
187	10
187	13
187	135
187	47
187	125
187	196
187	78
187	197
187	198
